GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
usuario,cl.duoc.app,App,0,8,0,0,0,3,0,2,0,2
usuario,cl.duoc.app.mapper,UsuarioMapper,0,40,0,0,0,13,0,2,0,2
usuario,cl.duoc.app.model,Usuario,0,68,0,0,0,9,0,13,0,13
usuario,cl.duoc.app.controller,UsuarioController,41,169,7,15,17,40,7,16,0,12
usuario,cl.duoc.app.service,UsuarioServiceImpl,0,38,0,0,0,11,0,7,0,7
usuario,cl.duoc.app.dto,UsuarioDTO,0,68,0,0,0,9,0,13,0,13
usuario,cl.duoc.app.util,UsuarioUtil,0,10,0,4,0,1,0,3,0,1
usuario,cl.duoc.app.config,CorsConfig.new WebMvcConfigurer() {...},0,47,0,0,0,7,0,2,0,2
usuario,cl.duoc.app.config,CorsConfig,0,8,0,0,0,2,0,2,0,2
